movieId,avgScore
1,4.0
2,3.0
3,4.33
4,3.33
5,3.0
6,5.0
7,4.0
8,4.0
9,3.44
10,4.0
11,2.57
12,2.0
13,3.0
14,4.0
15,1.0
16,4.0
17,4.0
18,4.0
19,1.0
20,3.0
21,4.0
22,4.5
23,4.0
24,3.0
25,3.0
26,4.0
27,3.5
28,4.0
29,3.8
30,4.33
31,4.0
32,3.0
33,5.0
34,4.08
35,4.0
36,4.0
37,4.0
38,2.67
39,3.0
40,3.33
41,3.0
42,5.0
43,4.5
44,3.0
45,4.38
46,2.5
47,3.33
48,3.0
49,4.25
50,3.25
51,4.0
52,3.67
53,3.0
54,2.67
55,5.0
56,2.0
57,4.5
58,4.0
59,2.25
60,2.0
61,3.0
62,3.0
63,3.6
64,3.5
65,3.4
66,4.0
67,4.0
68,2.0
69,4.0
70,3.0
71,3.0
72,3.0
73,4.0
74,3.33
75,5.0
76,4.0
77,4.67
78,3.33
79,3.0
80,3.0
81,5.0
82,5.0
83,3.8
84,4.0
85,4.0
86,3.75
87,2.0
88,3.0
89,3.67
90,3.0
91,3.5
92,4.5
93,4.0
94,3.0
95,4.0
96,3.0
97,3.43
98,5.0
99,2.5
100,4.0
101,3.0
102,3.25
103,3.0
104,4.5
105,3.0
106,2.67
107,4.2
108,4.0
109,4.0
110,4.0
111,3.33
112,3.0
113,4.29
114,3.0
115,5.0
116,5.0
117,2.0
118,5.0
119,2.0
120,4.67
121,3.5
122,3.25
123,3.0
124,4.0
125,2.5
126,5.0
127,4.0
128,4.5
129,4.67
130,4.0
131,3.0
132,2.0
133,4.5
134,2.33
135,3.0
136,4.38
137,4.0
138,2.0
139,3.0
140,4.67
141,3.67
142,3.5
143,4.0
144,4.0
145,3.5
146,4.0
147,3.5
148,4.0
149,4.5
150,5.0
151,5.0
152,5.0
153,4.33
154,2.75
155,3.0
156,2.0
157,3.0
158,4.0
159,2.0
160,5.0
161,4.5
162,2.0
163,4.75
164,4.67
165,4.0
166,4.67
167,3.0
168,3.0
169,3.0
170,5.0
171,4.4
172,4.0
173,4.0
174,3.5
175,4.0
176,4.67
177,3.67
178,4.0
179,4.25
180,5.0
181,4.0
182,2.67
183,4.0
184,5.0
185,2.0
186,3.0
187,4.0
188,3.67
189,4.33
190,4.33
191,3.67
192,3.0
193,5.0
194,4.67
195,5.0
196,2.67
197,2.75
198,5.0
199,4.22
200,2.5
201,3.0
202,4.0
203,3.0
204,5.0
205,5.0
206,3.0
207,4.0
208,3.0
209,4.0
210,4.2
211,3.0
212,3.0
213,3.0
214,4.5
215,5.0
216,4.8
217,4.71
218,4.33
219,3.0
220,2.0
221,4.75
222,3.0
223,3.0
224,4.0
225,2.0
226,3.5
227,2.0
228,4.4
229,4.33
230,2.0
231,4.0
232,5.0
233,3.0
234,5.0
235,5.0
236,1.5
237,3.0
238,4.0
239,4.5
240,4.0
241,2.0
242,4.67
243,4.67
244,5.0
245,3.0
246,5.0
247,5.0
248,5.0
249,2.0
250,3.0
251,3.67
252,1.0
253,4.0
254,4.57
255,4.0
256,5.0
257,3.0
258,4.5
259,4.0
260,2.5
261,3.75
262,5.0
263,5.0
264,5.0
265,2.0
266,3.0
267,3.0
268,3.5
269,3.33
270,2.0
271,4.75
272,4.0
273,4.0
274,4.0
275,3.0
276,4.0
277,5.0
278,4.0
279,3.0
280,4.5
281,3.0
282,5.0
283,2.67
284,3.0
285,5.0
286,5.0
287,4.0
288,4.0
289,1.0
290,5.0
291,3.0
292,4.0
293,4.0
294,4.0
295,2.5
296,5.0
297,4.0
298,5.0
299,3.0
300,5.0
301,5.0
302,3.0
303,4.0
304,4.5
305,4.5
306,4.5
307,4.5
308,4.0
309,3.5
310,5.0
311,4.0
312,4.0
313,4.5
314,4.0
315,3.5
316,2.0
317,4.0
318,3.0
319,4.0
320,5.0
321,4.0
322,4.0
323,4.0
324,5.0
325,4.0
326,5.0
327,3.0
328,3.5
329,4.8
330,5.0
331,5.0
332,4.0
333,4.0
334,4.0
335,3.0
336,4.0
337,3.0
338,3.0
339,4.27
340,4.0
341,5.0
342,3.0
343,3.0
344,4.0
345,3.5
346,5.0
347,3.0
348,3.75
349,3.67
350,4.33
351,2.0
352,4.33
353,4.0
354,4.0
355,3.0
356,2.0
357,5.0
358,2.0
359,4.0
360,4.0
361,3.0
362,4.5
363,3.0
364,5.0
365,3.0
366,3.0
367,4.0
368,5.0
369,5.0
370,4.0
371,3.0
372,4.0
373,4.82
374,3.5
375,4.0
376,4.4
377,1.0
378,4.0
379,2.0
380,3.0
381,3.0
382,5.0
383,5.0
384,4.5
385,3.0
386,4.5
387,3.75
388,4.0
389,4.0
390,3.33
391,3.0
392,4.5
393,3.5
394,3.2
395,3.0
396,5.0
397,5.0
398,4.0
399,4.8
400,3.0
401,3.5
402,2.0
403,4.0
404,4.0
405,3.0
406,4.43
407,4.33
408,3.5
409,4.0
410,3.0
411,4.0
412,4.33
413,2.5
414,1.0
415,3.0
416,4.0
417,2.0
418,3.0
419,4.5
420,3.0
421,3.0
422,5.0
423,3.67
424,4.0
425,5.0
426,4.0
427,4.0
428,2.0
429,4.5
430,2.0
431,4.0
432,2.33
433,3.0
434,1.0
435,4.0
436,4.0
437,3.0
438,2.5
439,4.0
440,3.0
441,5.0
442,4.0
443,3.0
444,2.67
445,3.67
446,3.0
447,4.0
448,1.0
449,3.5
450,4.0
451,4.0
452,4.0
453,4.0
454,5.0
455,4.0
456,5.0
457,3.2
458,4.0
459,3.67
460,2.0
461,3.5
462,3.33
463,3.5
464,4.0
465,3.25
466,5.0
467,4.0
468,4.0
469,5.0
470,5.0
471,5.0
472,4.0
473,4.67
474,4.0
475,2.0
476,5.0
477,5.0
478,5.0
479,5.0
480,3.33
481,2.0
482,4.0
483,4.29
484,3.67
485,1.0
486,4.33
487,5.0
488,5.0
489,3.0
490,3.0
491,5.0
492,4.5
493,3.0
494,4.0
495,4.0
496,4.2
497,4.0
498,4.67
499,5.0
500,5.0
501,4.0
502,4.0
503,3.0
504,5.0
505,4.5
506,3.0
507,4.56
508,3.0
509,2.5
510,4.0
511,4.0
512,1.0
513,2.86
514,4.0
515,4.0
516,4.0
517,3.0
518,5.0
519,3.75
520,3.0
521,4.4
522,3.75
523,3.0
524,4.67
525,3.0
526,4.0
527,4.0
528,5.0
529,5.0
530,5.0
531,3.0
532,5.0
533,4.0
534,4.0
535,4.0
536,5.0
537,3.0
538,4.0
539,5.0
540,5.0
541,4.5
542,2.67
543,5.0
544,4.0
545,4.0
546,4.0
547,5.0
548,5.0
549,3.0
550,3.0
551,3.0
552,3.0
553,2.0
554,4.5
555,3.5
556,5.0
557,4.0
558,4.0
559,4.5
560,4.38
561,3.5
562,4.0
563,5.0
564,4.0
565,3.0
566,4.0
567,5.0
568,2.0
569,3.0
570,4.0
571,2.0
572,4.0
573,4.0
574,3.0
575,4.0
576,5.0
577,5.0
578,4.0
579,4.0
580,3.0
581,4.0
582,3.5
583,3.0
584,1.0
585,5.0
586,5.0
587,5.0
588,5.0
589,5.0
590,4.0
591,4.0
592,5.0
593,4.0
594,5.0
595,4.0
596,4.0
597,3.0
598,5.0
599,4.0
600,4.5
601,4.0
602,3.0
603,5.0
604,4.5
605,5.0
606,4.5
607,4.0
608,3.0
609,5.0
610,5.0
611,5.0
612,4.0
613,3.5
614,3.0
615,5.0
616,3.0
617,4.0
618,4.0
619,4.0
620,3.0
621,4.0
622,4.0
623,4.0
624,3.5
625,4.0
626,5.0
627,4.75
628,2.0
629,3.0
630,4.5
631,5.0
632,3.5
633,5.0
634,5.0
635,4.0
636,3.0
637,3.67
638,5.0
639,2.0
640,4.0
641,3.0
642,4.0
643,3.5
644,4.0
645,4.0
646,4.0
647,4.0
648,4.0
649,4.0
650,2.5
651,3.0
652,4.0
653,4.0
654,3.33
655,5.0
656,3.0
657,5.0
658,4.33
659,3.0
660,4.0
661,4.0
662,4.0
663,4.0
664,3.0
665,4.0
666,4.0
667,4.5
668,5.0
669,4.0
670,4.5
671,4.0
672,5.0
673,3.0
674,3.0
675,5.0
676,4.0
677,4.0
678,4.0
679,4.0
680,2.5
681,5.0
682,4.5
683,3.75
684,3.0
685,4.0
686,4.0
687,4.0
688,4.0
689,3.0
690,5.0
691,4.5
692,3.0
693,3.0
694,3.5
695,3.0
696,4.0
697,5.0
698,3.0
699,4.5
700,4.0
701,3.0
702,4.0
703,4.0
704,4.33
705,4.0
706,5.0
707,3.0
708,3.0
709,4.5
710,5.0
711,3.5
712,3.0
713,3.67
714,3.89
715,2.0
716,2.0
717,4.0
718,5.0
719,4.0
720,5.0
721,4.0
722,5.0
723,3.0
724,4.5
725,4.0
726,4.0
727,5.0
728,2.0
729,4.0
730,3.0
731,3.0
732,5.0
733,4.0
734,1.0
735,5.0
736,2.0
737,3.0
738,5.0
739,3.71
740,2.5
741,5.0
742,3.5
743,3.0
744,4.0
745,4.5
746,4.5
747,3.0
748,3.5
749,2.67
750,4.0
751,3.0
752,2.0
753,3.5
754,3.33
755,3.0
756,3.0
757,4.0
758,3.75
759,5.0
760,4.5
761,5.0
762,1.67
763,5.0
764,4.0
765,5.0
766,3.0
767,5.0
768,5.0
769,5.0
770,4.5
771,4.0
772,5.0
773,4.0
774,3.0
775,3.83
776,4.0
777,3.0
778,4.0
779,5.0
780,4.0
781,4.67
782,5.0
783,5.0
784,4.0
785,5.0
786,5.0
787,5.0
788,4.0
789,4.0
790,4.0
791,4.0
792,5.0
793,4.5
794,3.0
795,4.0
796,4.0
797,3.0
798,4.0
799,4.0
800,3.8
801,3.5
802,4.0
803,2.0
804,4.0
805,4.5
806,4.67
807,3.0
808,3.0
809,4.0
810,3.0
811,4.0
812,3.0
813,2.0
814,4.0
815,1.0
816,3.0
817,3.0
818,3.0
819,2.0
820,5.0
821,4.0
822,4.0
823,5.0
824,4.0
825,2.0
826,5.0
827,3.0
828,4.0
829,5.0
830,5.0
831,5.0
832,3.0
833,4.0
834,3.0
835,4.0
836,5.0
837,4.0
838,3.5
839,4.75
840,4.5
841,3.0
842,3.0
843,3.33
844,5.0
845,3.0
846,4.0
847,4.0
848,4.0
849,2.0
850,4.33
851,3.0
852,4.5
853,4.0
854,3.0
855,4.0
856,5.0
857,5.0
858,4.0
859,3.0
860,4.0
861,3.5
862,4.0
863,4.0
864,4.0
865,5.0
866,3.75
867,2.0
868,4.0
869,5.0
870,3.5
871,3.0
872,4.0
873,2.0
874,3.0
875,3.57
876,3.0
877,2.0
878,5.0
879,4.0
880,4.38
881,3.33
882,1.0
883,4.0
884,4.0
885,4.0
886,3.0
887,4.0
888,2.5
889,1.0
890,1.0
891,4.33
892,1.0
893,5.0
894,4.0
895,5.0
896,4.0
897,2.67
898,4.0
899,3.0
900,4.0
901,3.0
902,4.0
903,3.0
904,3.67
905,3.2
906,2.0
907,3.0
908,5.0
909,1.0
910,4.5
911,3.0
912,3.0
913,3.5
914,4.0
915,3.5
916,3.5
917,3.5
918,3.5
919,3.0
920,3.0
921,1.0
922,5.0
923,3.5
924,4.0
925,4.0
926,3.5
927,5.0
928,3.5
929,5.0
930,4.0
931,5.0
932,2.0
933,5.0
934,5.0
935,4.0
936,5.0
937,4.33
938,5.0
939,4.0
940,4.5
941,2.0
942,5.0
943,3.0
944,5.0
945,1.0
946,1.0
947,4.0
948,4.0
949,5.0
950,1.0
951,4.0
952,5.0
953,4.5
954,4.0
955,3.0
956,4.0
957,2.0
958,5.0
959,4.0
960,2.0
961,4.0
962,4.0
963,3.5
964,5.0
965,5.0
966,5.0
967,4.5
968,4.0
969,4.0
970,1.0
971,4.0
972,3.43
973,3.0
974,5.0
975,3.5
976,3.5
977,5.0
978,4.0
979,3.0
980,1.0
981,4.0
982,2.0
983,5.0
984,4.0
985,4.0
986,4.0
987,4.67
988,4.0
989,4.0
990,5.0
991,4.0
992,2.0
993,4.5
994,3.0
995,5.0
996,3.0
997,4.0
998,4.67
999,5.0
1000,2.0
1001,4.0
1002,4.33
1003,3.0
1004,3.0
1005,4.0
1006,4.0
1007,4.5
1008,5.0
1009,4.0
1010,3.0
1011,5.0
1012,4.0
1013,5.0
1014,4.0
1015,3.5
1016,5.0
1017,2.0
1018,5.0
1019,5.0
1020,4.5
1021,1.0
1022,4.0
1023,4.0
1024,3.0
1025,5.0
1026,3.0
1027,1.0
1028,3.0
1029,3.33
1030,4.33
1031,3.0
1032,5.0
1033,5.0
1034,4.0
1035,3.67
1036,3.0
1037,4.0
1038,2.0
1039,2.0
1040,4.0
1041,3.0
1042,3.0
1043,4.0
1044,5.0
1045,4.0
1046,5.0
1047,2.0
1048,5.0
1049,5.0
1050,4.5
1051,4.0
1052,3.25
1053,1.0
1054,5.0
1055,5.0
1056,3.0
1057,2.0
1058,2.0
1059,3.0
1060,2.0
1061,3.75
1062,5.0
1063,4.33
1064,4.0
1065,1.0
1066,3.0
1067,4.0
1068,4.0
1069,5.0
1070,4.0
1071,4.0
1072,4.0
1073,4.0
1074,4.0
1075,5.0
1076,5.0
1077,5.0
1078,3.5
1079,2.0
1080,4.0
1081,3.0
1082,4.0
1083,4.0
1084,4.0
1085,3.0
1086,4.0
1087,4.0
1088,2.0
1089,4.0
1090,4.5
1091,3.0
1092,1.0
1093,4.0
1094,4.0
1095,5.0
1096,5.0
1097,4.0
1098,3.0
1099,5.0
1100,4.0
1101,3.0
1102,2.0
1103,3.5
1104,4.0
1105,3.0
1106,4.0
1107,3.0
1108,4.5
1109,4.0
1110,5.0
1111,4.0
1112,4.0
1113,4.0
1114,4.67
1115,3.0
1116,2.0
1117,1.0
1118,4.0
1119,5.0
1120,4.0
1121,4.0
1122,5.0
1123,2.0
1124,4.0
1125,3.6
1126,5.0
1127,3.0
1128,3.0
1129,4.0
1130,5.0
1131,5.0
1132,2.0
1133,4.5
1134,5.0
